№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
3965	243	ул.Марковцева-14	14	03372783	2003	11.01 04:58	00013300	13300	****	****	****	****	****	****	****	****	646
3966	698	ул.Марковцева-16а	16а	07952450	2003	11.01 04:53	00014865	14865	****	****	****	****	****	****	****	****	646
3967	821	ул. Марковцева	12а	07952476	2002	11.01 05:03	00003813	3813	****	****	****	****	****	****	****	****	646
3968	287	б-р Строителей-40	40	03372431	2001	11.01 04:52	00014575	14575	****	****	****	****	****	****	****	****	647
3969	301	б-р Строителей-42б	42б	03372201	2001	11.01 04:52	00010253	10253	****	****	****	****	****	****	****	****	647
3970	992	Химиков	19В	06278050	2001	11.01 05:01	00009762	9762	****	****	****	****	****	****	****	****	647
3971	273	пр.Химиков-17	17	03372648	2002	11.01 04:58	00009487	9487	****	****	****	****	****	****	****	****	647
3972	297	пр.Химиков-19а	19а	03372120	2002	11.01 04:51	00013007	13007	****	****	****	****	****	****	****	****	647
3973	299	пр.Химиков-17	17	03372478	2002	11.01 04:57	00009090	9090	****	****	****	****	****	****	****	****	647
3974	302	б-р Строителей-40	40	03372562	2002	11.01 04:59	00013222	13222	****	****	****	****	****	****	****	****	647
3975	1	Химиков	19Б	06277950	2002	11.01 05:01	00011063	11063	****	****	****	****	****	****	****	****	647
3976	292	пр.Химиков-17	17	03372535	2003	11.01 04:54	00007850	7850	****	****	****	****	****	****	****	****	647
3977	293	пр.Химиков-17	17	03372208	2003	11.01 05:01	00010905	10905	****	****	****	****	****	****	****	****	647
3978	2	Химиков	19Б	06277402	2003	11.01 04:59	00004565	4565	****	****	****	****	****	****	****	****	647
3979	993	Химиков	19В	06257867	2003	11.01 05:00	00004369	4369	****	****	****	****	****	****	****	****	647
3980	132	б-р Строителей-44	44	03372733	2001	11.01 05:15	00012799	12799	****	****	****	****	****	****	****	****	648
3981	988	Строителей	42а	15623974	2001	11.01 05:20	00000849	849	****	****	****	****	****	****	****	****	648
3982	987	Строителей	42а	15623585	2001	11.01 05:22	00002550	2550	****	****	****	****	****	****	****	****	648
3983	989	Строителей	42а	15592838	2001	11.01 05:17	00011400	11400	****	****	****	****	****	****	****	****	648
3984	130	б-р Строителей-42	42	03351994	2002	11.01 05:15	00012714	12714	****	****	****	****	****	****	****	****	648
3985	160	б-р Строителей-44а	44а	03352069	2002	11.01 05:15	00012297	12297	****	****	****	****	****	****	****	****	648
3986	10	б-р Строителей-44	44	03350243	2003	11.01 05:21	00014927	14927	****	****	****	****	****	****	****	****	648
3987	162	б-р Строителей-42б	42б	03352075	2003	11.01 05:18	00010405	10405	****	****	****	****	****	****	****	****	648
3988	15	Строителей	44а	03375531	2003	11.01 05:12	00007789	7789	****	****	****	****	****	****	****	****	648
3989	189	пр.Ленинградский-45б	45б	03372646	2001	11.01 04:53	00014408	14408	****	****	****	****	****	****	****	****	649
3990	73	б-р Строителей-46б	46б	03372790	2002	11.01 04:54	00011973	11973	****	****	****	****	****	****	****	****	649
3991	239	б-р Строителей-46а	46а	03372429	2003	11.01 05:02	00015456	15456	****	****	****	****	****	****	****	****	649
3992	242	б-р Строителей-46а	46а	03372383	2003	11.01 05:03	00016282	16282	****	****	****	****	****	****	****	****	649
3993	975	Волкова д/с Росинка	20А	06243388	2001	11.01 05:02	00031724	31724	****	****	****	****	****	****	****	****	65
3994	15	ул. Волкова	6	03375780	2001	11.01 05:02	00005962	5962	****	****	****	****	****	****	****	****	65
3995	19	ул. Волкова	4	03372820	2001	11.01 04:58	00003430	3430	****	****	****	****	****	****	****	****	65
3996	16	ул. Волкова	2	03375787	2001	11.01 05:01	00007933	7933	****	****	****	****	****	****	****	****	65
3997	28	ул. Волкова	8	03376924	2001	11.01 04:57	00083018	83018	****	****	****	****	****	****	****	****	65
3998	29	ул. Волкова	8	10178576	2001	11.01 04:55	00073164	73164	****	****	****	****	****	****	****	****	65
3999	24	ул. Волкова	8	03377095	2001	11.01 05:00	00068812	68812	****	****	****	****	****	****	****	****	65
4000	20	ул. Волкова	10	03351956	2001	11.01 05:07	00005266	5266	****	****	****	****	****	****	****	****	65
4001	10	ул. Волкова	8	07007990	2003	11.01 04:55	00054602	54602	****	****	****	****	****	****	****	****	65
4002	27	б-р Строителей-46	46	15647990	2001	11.01 05:08	00006669	6669	****	****	****	****	****	****	****	****	650
4003	21	б-р Строителей-46	46	15647721	2001	****	****	0	****	****	****	****	****	****	****	****	650
4004	221	б-р Строителей-50	50	03372209	2001	11.01 05:07	00010727	10727	****	****	****	****	****	****	****	****	650
4005	223	б-р Строителей-50	50	03372532	2001	11.01 05:02	00006814	6814	****	****	****	****	****	****	****	****	650
4006	8	б-р Строителей-50	50/2	10159751	2002	11.01 05:06	00009014	9014	****	****	****	****	****	****	****	****	650
4007	176	б-р Строителей-50	50/2	03352086	2002	11.01 05:03	00005309	5309	****	****	****	****	****	****	****	****	650
4008	174	б-р Строителей-52	52	03372368	2001	****	****	0	****	****	****	****	****	****	****	****	651
4009	136	б-р Строителей-52	52	03351928	2001	****	****	0	****	****	****	****	****	****	****	****	651
4010	133	ул.Марковцева-12б	12б	3351977	2001	****	****	0	****	****	****	****	****	****	****	****	651
4011	175	б-р Строителей-56	56	03372793	2001	****	****	0	****	****	****	****	****	****	****	****	651
4012	765	б-р Строителей-56	56/2	07952536	2001	****	****	0	****	****	****	****	****	****	****	****	651
4013	128	ул.Марковцева-12	12	03372607	2002	****	****	0	****	****	****	****	****	****	****	****	651
4014	135	б-р Строителей-56	56	03352013	2002	****	****	0	****	****	****	****	****	****	****	****	651
4015	134	б-р Строителей-56	56	03351959	2002	****	****	0	****	****	****	****	****	****	****	****	651
4016	127	б-р Строителей-52а	52а	03351958	2002	****	****	0	****	****	****	****	****	****	****	****	651
4017	108	пр.Московский-39г	39г	03372310	2001	11.01 04:56	00005196	5196	****	****	****	****	****	****	****	****	652
4018	110	пр.Московский-39в	39в	03372128	2001	11.01 04:59	00004803	4803	****	****	****	****	****	****	****	****	652
4019	115	пр.Московский-35а	35а	03372155	2001	11.01 04:58	00011306	11306	****	****	****	****	****	****	****	****	652
4020	90	пр.Московский-41а	41а	03375604	2001	11.01 05:07	00008649	8649	****	****	****	****	****	****	****	****	652
4021	51	пр.Московский-31	31	03372601	2001	11.01 04:56	00009763	9763	****	****	****	****	****	****	****	****	652
4022	52	пр.Московский-31	31	03372591	2001	11.01 05:04	00009039	9039	****	****	****	****	****	****	****	****	652
4023	55	пр.Московский-31	31	03372147	2001	11.01 05:01	00011458	11458	****	****	****	****	****	****	****	****	652
4024	49	пр.Московский-31	31	03372332	2001	11.01 05:07	00003697	3697	****	****	****	****	****	****	****	****	652
4025	54	пр.Московский-35	35	03372756	2001	11.01 04:57	00012135	12135	****	****	****	****	****	****	****	****	652
4026	46	пр.Московский-35	35	03372417	2001	11.01 05:03	00011803	11803	****	****	****	****	****	****	****	****	652
4027	56	пр.Московский-39б	39б	03372117	2001	11.01 05:02	00004053	4053	****	****	****	****	****	****	****	****	652
4028	50	пр.Московский-39б	39б	03372660	2001	11.01 05:04	00005837	5837	****	****	****	****	****	****	****	****	652
4029	41	пр.Московский-41	41	03372320	2001	11.01 05:01	00012486	12486	****	****	****	****	****	****	****	****	652
4030	48	пр.Московский-41	41	03372438	2001	11.01 05:02	00011549	11549	****	****	****	****	****	****	****	****	652
4031	98	пр.Московский-39в	39в	03372377	2001	11.01 05:05	00005853	5853	****	****	****	****	****	****	****	****	652
4032	107	пр.Московский-35а	35а	03372738	2001	11.01 05:06	00010291	10291	****	****	****	****	****	****	****	****	652
4033	109	пр.Московский-41а	41а	03372317	2001	11.01 04:57	00011241	11241	****	****	****	****	****	****	****	****	652
4034	114	пр.Московский-39г	39г	03372750	2001	11.01 05:05	00005919	5919	****	****	****	****	****	****	****	****	652
4035	2	пр. Московский	37	10182230	2001	11.01 05:01	00003813	3813	****	****	****	****	****	****	****	****	652
4036	10	пр. Ленинградский	12А	06221385	2001	11.01 05:04	00008161	8161	****	****	****	****	****	****	****	****	652
4037	11	пр. Ленинградский	12А	06242784	2001	11.01 05:05	00005862	5862	****	****	****	****	****	****	****	****	652
4038	1	пр. Московский	37	10181855	2003	11.01 05:00	00005485	5485	****	****	****	****	****	****	****	****	652
4039	40	пр.Комсомольский-15	15	03372290	2001	11.01 07:37	00009825	9825	****	****	****	****	****	****	****	****	653
4040	44	пр.Комсомольский-15	15	03372471	2001	11.01 07:36	00004823	4823	****	****	****	****	****	****	****	****	653
4041	39	пр.Московский-45	45	03372326	2001	11.01 07:34	00011283	11283	****	****	****	****	****	****	****	****	653
4042	38	пр.Московский-45	45	03372719	2001	11.01 07:34	00013027	13027	****	****	****	****	****	****	****	****	653
4043	47	пр.Московский-45б	45б	03351952	2001	11.01 07:33	00012881	12881	****	****	****	****	****	****	****	****	653
4044	42	пр.Московский-45б	45б	03372745	2001	11.01 07:38	00016031	16031	****	****	****	****	****	****	****	****	653
4045	53	пр.Московский-45б	45б	03372316	2001	11.01 07:36	00012351	12351	****	****	****	****	****	****	****	****	653
4046	23	пр.Октябрьский-80а	80а	03372507	2001	11.01 05:02	00009580	9580	****	****	****	****	****	****	****	****	654
4047	26	пр.Октябрьский-80г	80г	03372362	2001	11.01 04:56	00004854	4854	****	****	****	****	****	****	****	****	654
4048	13	пр.Октябрьский-80г	80г	03372273	2001	11.01 05:05	00007370	7370	****	****	****	****	****	****	****	****	654
4049	14	пр.Октябрьский-82	82	03372589	2001	11.01 05:02	00011834	11834	****	****	****	****	****	****	****	****	654
4050	43	пр.Октябрьский-82	82	03372308	2001	11.01 05:03	00003523	3523	****	****	****	****	****	****	****	****	654
4051	15	пр.Октябрьский-82	82	03372388	2001	11.01 05:01	00009477	9477	****	****	****	****	****	****	****	****	654
4052	24	пр.Октябрьский-84	84	03372621	2001	11.01 05:02	00012910	12910	****	****	****	****	****	****	****	****	654
4053	19	пр.Октябрьский-84	84	03372664	2001	11.01 04:59	00010874	10874	****	****	****	****	****	****	****	****	654
4054	11	пр.Октябрьский-82	82	03372382	2001	11.01 05:01	00011584	11584	****	****	****	****	****	****	****	****	654
4055	12	пр.Октябрьский-82	82	03372394	2001	11.01 00:13	00011915	11915	****	****	****	****	****	****	****	****	654
4056	45	пр.Октябрьский-82	82	03372806	2001	11.01 05:02	00009690	9690	****	****	****	****	****	****	****	****	654
4057	31	пр.Октябрьский-80а	80а	03351982	2002	11.01 05:07	00012099	12099	****	****	****	****	****	****	****	****	654
4058	1	пр. Московский	45Б	04470399	2002	11.01 05:03	00010662	10662	****	****	****	****	****	****	****	****	654
4059	25	пр.Ленина-152в	152в	03352000	2001	11.01 05:25	00005634	5634	****	****	****	****	****	****	****	****	655
4060	18	пр.Ленина-152в	152в	03372804	2001	11.01 05:18	00003890	3890	****	****	****	****	****	****	****	****	655
4061	35	пр.Ленина-152в	152в	15647583	2001	11.01 04:41	00005733	5733	****	****	****	****	****	****	****	****	655
4062	28	пр.Ленина-152в	152в	03372501	2001	11.01 05:16	00010394	10394	****	****	****	****	****	****	****	****	655
4063	16	пр.Комсомольский,25	25	03372425	2001	11.01 05:24	00012419	12419	****	****	****	****	****	****	****	****	655
4064	22	пр.Комсомольский-27	27	03372625	2001	11.01 05:22	00008393	8393	****	****	****	****	****	****	****	****	655
4065	29	пр.Комсомольский-27	27	03372376	2001	11.01 05:26	00007393	7393	****	****	****	****	****	****	****	****	655
4066	20	пр.Октябрьский-103	103	03372350	2001	11.01 05:15	00010431	10431	****	****	****	****	****	****	****	****	655
4067	21	пр.Октябрьский-103	103	03372338	2001	11.01 05:23	00005469	5469	****	****	****	****	****	****	****	****	655
4068	27	пр.Октябрьский-105	105	05312211	2001	11.01 05:26	00011015	11015	****	****	****	****	****	****	****	****	655
4069	17	пр.Октябрьский-105	105	03372650	2001	11.01 05:24	00008708	8708	****	****	****	****	****	****	****	****	655
4070	101	Октябрьский	103А	06257868	2001	11.01 05:14	00003227	3227	****	****	****	****	****	****	****	****	655
4071	102	Октябрьский	103А	06257886	2001	11.01 05:16	00006995	6995	****	****	****	****	****	****	****	****	655
4072	30	пр.Комсомольский,25	25	03372819	2002	11.01 05:07	00008532	8532	****	****	****	****	****	****	****	****	655
4073	84	пр.Ленина-164	164	03372116	2001	11.01 06:41	00011848	11848	****	****	****	****	****	****	****	****	656
4074	73	пр.Ленина-164	164	03372386	2001	11.01 06:45	00008634	8634	****	****	****	****	****	****	****	****	656
4075	76	пр.Ленина-164	164	03372142	2001	11.01 06:49	00010269	10269	****	****	****	****	****	****	****	****	656
4076	72	пр.Ленина-164	164	03372118	2001	11.01 06:42	00010388	10388	****	****	****	****	****	****	****	****	656
4077	83	пр.Ленина-164	164	03372774	2001	11.01 06:38	00006810	6810	****	****	****	****	****	****	****	****	656
4078	82	пр.Ленина-164	164	03372453	2001	11.01 06:51	00010738	10738	****	****	****	****	****	****	****	****	656
4079	74	пр.Ленина-164а	164а	03372627	2001	11.01 06:40	00012053	12053	****	****	****	****	****	****	****	****	656
4080	85	пр.Ленина-164	164	03372123	2001	11.01 06:47	00003896	3896	****	****	****	****	****	****	****	****	656
4081	69	пр.Ленина-164а	164а	03372613	2001	11.01 06:45	00007100	7100	****	****	****	****	****	****	****	****	656
4082	68	пр.Ленина-164	164	03372739	2001	11.01 06:50	00014747	14747	****	****	****	****	****	****	****	****	656
4083	1	пр. Ленина	152А	053762	2001	11.01 06:45	00007755	7755	****	****	****	****	****	****	****	****	656
4084	2	пр. Ленина	152А	05376333	2001	11.01 06:48	00000789	789	****	****	****	****	****	****	****	****	656
4085	1	пр.Ленинградский-28а	28а	02573597	2001	****	****	0	****	****	****	****	****	****	****	****	657
4086	2	пр.Ленинградский-28а	28а	02573624	2001	****	****	0	****	****	****	****	****	****	****	****	657
4087	4	пр.Ленина-148	148	02577149	2001	****	****	0	****	****	****	****	****	****	****	****	657
4088	9	пр.Ленина-162	162	02576987	2001	****	****	0	****	****	****	****	****	****	****	****	657
4089	10	пр.Ленина-162	162	02577046	2001	****	****	0	****	****	****	****	****	****	****	****	657
4090	67	пр.Ленина-150б	150б	03372822	2001	****	****	0	****	****	****	****	****	****	****	****	657
4091	79	пр.Ленина-150б	150б	03372140	2001	****	****	0	****	****	****	****	****	****	****	****	657
4092	75	пр.Ленина-150а	150а	03372144	2001	****	****	0	****	****	****	****	****	****	****	****	657
4093	81	пр.Ленина-150а	150а	03372742	2001	****	****	0	****	****	****	****	****	****	****	****	657
4094	3	пр.Ленина-148	148	02573616	2001	****	****	0	****	****	****	****	****	****	****	****	657
4095	5	пр.Ленина-158	158	02577132	2003	****	****	0	****	****	****	****	****	****	****	****	657
4096	6	пр.Ленина-158	158	02573769	2003	****	****	0	****	****	****	****	****	****	****	****	657
4097	7	пр.Ленина-160	160	02577154	2003	****	****	0	****	****	****	****	****	****	****	****	657
4098	8	пр.Ленина-160	160	02576791	2003	****	****	0	****	****	****	****	****	****	****	****	657
4099	71	Ленинградский,22	22	03372113	2001	06.01 05:00	00000011	11	****	****	****	****	****	****	****	****	658
4100	77	Ленинградский,22	22	03372131	2001	06.01 05:02	00004579	4579	****	****	****	****	****	****	****	****	658
4101	14	Ленинградский,22	22	03372782	2001	06.01 04:59	00014705	14705	****	****	****	****	****	****	****	****	658
4102	65	Ленинградский,22	22	03372690	2001	06.01 05:09	00011085	11085	****	****	****	****	****	****	****	****	658
4103	889	ул.Тухачевского-31д	31д	06277790	2003	11.01 05:09	00011381	11381	****	****	****	****	****	****	****	****	659
4104	890	ул.Тухачевского-31в	31в	06257996	2003	11.01 05:09	00008661	8661	****	****	****	****	****	****	****	****	659
4105	894	ул.Тухачевского-31в	31в	06277768	2003	11.01 05:01	00004436	4436	****	****	****	****	****	****	****	****	659
4106	896	ул.Тухачевского-31б	31б	06258033	2003	11.01 04:58	00008768	8768	****	****	****	****	****	****	****	****	659
4107	897	ул.Тухачевского-31г	31г	06258020	2003	11.01 05:06	00014167	14167	****	****	****	****	****	****	****	****	659
4108	898	ул.Тухачевского-31г	31г	06258010	2003	11.01 05:00	00011565	11565	****	****	****	****	****	****	****	****	659
4109	899	ул.Тухачевского-31г	31г	06277784	2003	11.01 04:58	00013760	13760	****	****	****	****	****	****	****	****	659
4110	512	ул. Заузелкова	3	07041141	2003	11.01 05:08	00004660	4660	****	****	****	****	****	****	****	****	659
4111	513	ул. Заузелкова	3	02602834	2003	11.01 04:58	00006445	6445	****	****	****	****	****	****	****	****	659
4112	260	ул.9 Января-1а	1а	06283061	2001	11.01 05:39	00007037	7037	****	****	****	****	****	****	****	****	66
4113	264	ул.9 Января-1а	1а	06277283	2001	11.01 05:36	00002782	2782	****	****	****	****	****	****	****	****	66
4114	780	ул.9 Января-1а		07041054	2001	11.01 05:42	00006792	6792	****	****	****	****	****	****	****	****	66
4115	782	ул.9 Января 1а		07021874	2001	11.01 05:35	00010947	10947	****	****	****	****	****	****	****	****	66
4116	999	ул.9 Января-1	1	06282783	2001	11.01 05:34	00004729	4729	****	****	****	****	****	****	****	****	66
4117	35	ул.Суховская	29	15645834	2001	11.01 05:32	00017086	17086	****	****	****	****	****	****	****	****	66
4118	2	ул. Спортивная	93	06221396	2001	11.01 05:41	00009801	9801	****	****	****	****	****	****	****	****	66
4119	995	ул.Суховская-31	31	06250478	2002	11.01 05:27	00028764	28764	****	****	****	****	****	****	****	****	66
4120	998	ул.Суховская-27	27	06259446	2002	11.01 05:31	00038000	38000	****	****	****	****	****	****	****	****	66
4121	1	ул. Спортивная	93	06210340	2002	11.01 05:27	00007160	7160	****	****	****	****	****	****	****	****	66
4122	23	ул. Волкова	8	03377132	2001	11.01 08:13	00072821	72821	****	****	****	****	****	****	****	****	66
4123	31	ул. Волкова	8	03377057	2001	11.01 08:12	00062439	62439	****	****	****	****	****	****	****	****	66
4124	30	ул. Волкова	8	03377076	2001	11.01 08:10	00079286	79286	****	****	****	****	****	****	****	****	66
4125	24	ул. Волкова	12	03351950	2001	11.01 08:13	00003404	3404	****	****	****	****	****	****	****	****	66
4126	3	ул. Волкова	16	03375239	2001	11.01 08:10	00011283	11283	****	****	****	****	****	****	****	****	66
4127	1	ул. Волкова	16	03375212	2001	11.01 08:12	00004421	4421	****	****	****	****	****	****	****	****	66
4128	26	ул. Волкова	18	03375403	2001	11.01 08:14	00010534	10534	****	****	****	****	****	****	****	****	66
4129	17	ул. Волкова	14	03372767	2002	11.01 05:32	00004104	4104	****	****	****	****	****	****	****	****	66
4130	62	пр. Ленинградский 14	14	03372481	2001	11.01 05:03	00011544	11544	****	****	****	****	****	****	****	****	660
4131	66	пр. Ленинградский 14	14	03372556	2001	11.01 04:59	00013889	13889	****	****	****	****	****	****	****	****	660
4132	871	пр. Ленинградский	18	09296641	2001	11.01 05:07	00009271	9271	****	****	****	****	****	****	****	****	660
4133	64	пр. Ленинградский 18а	18а	03372673	2001	11.01 05:06	00005262	5262	****	****	****	****	****	****	****	****	660
4134	59	пр. Ленинградский 18а	18а	03372699	2001	11.01 05:05	00015553	15553	****	****	****	****	****	****	****	****	660
4135	1	пр. Ленинградский	18	21145699	2001	11.01 03:28	00003097	3097	****	****	****	****	****	****	****	****	660
4136	114	пр. Ленинградский	18	05370522	2003	11.01 04:57	00034367	34367	****	****	****	****	****	****	****	****	660
4137	91	пр.Октябрьский-78	78	03375549	2003	11.01 05:07	00005949	5949	****	****	****	****	****	****	****	****	661
4138	87	пр.Октябрьский-78а	78а	03372606	2003	11.01 05:05	00012620	12620	****	****	****	****	****	****	****	****	661
4139	3	пр. Ленинградский	14А	10182073	2003	11.01 05:00	00001456	1456	****	****	****	****	****	****	****	****	661
4140	57	пр.Октябрьский-78	78	03372203	2002	11.01 05:06	00015501	15501	****	****	****	****	****	****	****	****	661
4141	88	пр.Октябрьский-78	78	03372334	2002	11.01 05:08	00011374	11374	****	****	****	****	****	****	****	****	661
4142	95	пр.Октябрьский-80б	80б	03372154	2002	11.01 05:04	00005830	5830	****	****	****	****	****	****	****	****	661
4143	2	пр. Ленинградский	14А	10181867	2002	11.01 05:09	00004339	4339	****	****	****	****	****	****	****	****	661
4144	1	пр. Ленинградский	14А	10182270	2002	11.01 05:10	00006057	6057	****	****	****	****	****	****	****	****	661
4145	92	пр.Октябрьский-78	78	03372420	2001	****	****	0	****	****	****	****	****	****	****	****	661
4146	89	пр.Октябрьский-78а	78а	03372304	2001	01.01 16:10	00012067	12067	****	****	****	****	****	****	****	****	661
4147	94	пр.Октябрьский-80б	80б	03372145	2001	****	****	0	****	****	****	****	****	****	****	****	661
4148	61	пр.Октябрьский-103	103	03372683	2001	11.01 05:28	00014450	14450	****	****	****	****	****	****	****	****	662
4149	63	пр.Октябрьский-103	103	03372682	2001	11.01 05:32	00009756	9756	****	****	****	****	****	****	****	****	662
4150	80	пр.Октябрьский-101а	101а	03372139	2001	11.01 05:26	00019316	19316	****	****	****	****	****	****	****	****	662
4151	93	пр.Октябрьский-101б	101б	03372435	2001	11.01 05:34	00011245	11245	****	****	****	****	****	****	****	****	662
4152	74	пр.Ленина-152б	152б	03372865	2001	11.01 05:36	00010867	10867	****	****	****	****	****	****	****	****	662
4153	70	пр.Ленина-152б	152б	03372126	2001	11.01 05:28	00005272	5272	****	****	****	****	****	****	****	****	662
4154	5	пр.Ленина-152б	152б	03372735	2001	11.01 05:26	00008177	8177	****	****	****	****	****	****	****	****	662
4155	78	пр.Ленина-152б	152б	03372136	2001	11.01 05:28	00003607	3607	****	****	****	****	****	****	****	****	662
4156	97	пр.Октябрьский-97	97	03372135	2001	11.01 05:38	00009239	9239	****	****	****	****	****	****	****	****	663
4157	99	пр.Октябрьский-97	97	03375477	2001	11.01 05:40	00008338	8338	****	****	****	****	****	****	****	****	663
4158	102	пр.Октябрьский-97	97	03375405	2001	11.01 05:38	00010760	10760	****	****	****	****	****	****	****	****	663
4159	105	пр.Октябрьский-97	97	03375617	2001	11.01 05:32	00016397	16397	****	****	****	****	****	****	****	****	663
4160	103	пр.Октябрьский-99а	99а	03351813	2001	11.01 05:32	00011973	11973	****	****	****	****	****	****	****	****	663
4161	106	пр.Октябрьский-99а	99а	03351876	2001	11.01 05:39	00010896	10896	****	****	****	****	****	****	****	****	663
4162	100	пр.Октябрьский-99	99	03375493	2001	11.01 05:40	00012230	12230	****	****	****	****	****	****	****	****	663
4163	86	пр.Октябрьский-95	95	03372129	2001	11.01 05:26	00011502	11502	****	****	****	****	****	****	****	****	664
4164	116	пр. Ленинградский 28	28	03372151	2001	11.01 05:36	00009962	9962	****	****	****	****	****	****	****	****	664
4165	104	пр. Ленинградский 28	28	03375589	2001	11.01 05:26	00006331	6331	****	****	****	****	****	****	****	****	664
4166	111	пр. Ленинградский 24	24	03372124	2001	11.01 05:28	00004626	4626	****	****	****	****	****	****	****	****	664
4167	101	пр. Ленинградский 24	24	03375458	2001	11.01 05:34	00012881	12881	****	****	****	****	****	****	****	****	664
4168	113	пр. Ленинградский 24а	24а	03372292	2001	11.01 05:26	00009355	9355	****	****	****	****	****	****	****	****	664
4169	96	пр. Ленинградский 24а	24а	03372358	2001	11.01 05:30	00013813	13813	****	****	****	****	****	****	****	****	664
4170	37	пр.Октябрьский-95	95	03372374	2001	11.01 05:28	00011288	11288	****	****	****	****	****	****	****	****	664
4171	648	б-р Строителей-32	32	07041067	2001	11.01 05:09	00009584	9584	****	****	****	****	****	****	****	****	665
4172	649	б-р Строителей-32	32	07041037	2002	11.01 05:13	00005289	5289	****	****	****	****	****	****	****	****	665
4173	651	б-р Строителей-28	28	07041072	2002	11.01 05:06	00000004	4	****	****	****	****	****	****	****	****	665
4174	652	б-р Строителей-28	28	07041069	2002	11.01 05:02	00004507	4507	****	****	****	****	****	****	****	****	665
4175	656	б-р Строителей-28	28	07021804	2002	11.01 05:02	00018943	18943	****	****	****	****	****	****	****	****	665
4176	657	б-р Строителей-28	28	07021802	2002	11.01 05:12	00016904	16904	****	****	****	****	****	****	****	****	665
4177	650	Б-р Строителей-32	32	07041046	2002	11.01 05:07	00006717	6717	****	****	****	****	****	****	****	****	666
4178	654	Б-р Строителей-32	32	07041044	2002	11.01 05:12	00004208	4208	****	****	****	****	****	****	****	****	666
4179	590	Б-р Строителей-28	28	07022719	2003	11.01 05:10	00009356	9356	****	****	****	****	****	****	****	****	666
4180	591	Б-р Строителей-32	32	07022986	2003	11.01 05:12	00002121	2121	****	****	****	****	****	****	****	****	666
4181	592	Б-р Строителей-28	28	07021473	2003	11.01 05:11	00008855	8855	****	****	****	****	****	****	****	****	666
4182	596	Б-р Строителей-28	28	07021634	2003	11.01 05:07	00006551	6551	****	****	****	****	****	****	****	****	666
4183	599	Б-р Строителей-28	28	07021457	2003	11.01 05:01	00008244	8244	****	****	****	****	****	****	****	****	666
4184	645	Б-р Строителей-32	32	07020086	2003	11.01 05:10	00002291	2291	****	****	****	****	****	****	****	****	666
4185	223	пр.Комсомольский-53б	53б	06277795	2001	11.01 05:25	00011618	11618	****	****	****	****	****	****	****	****	671
4186	182	пр.Комсомольский-53в	53в	06232495	2001	11.01 05:28	00015650	15650	****	****	****	****	****	****	****	****	671
4187	225	пр.Комсомольский-57	57	06277812	2001	11.01 05:22	00011727	11727	****	****	****	****	****	****	****	****	671
4188	230	пр.Комсомольский-53	53	06283314	2001	11.01 05:21	00014060	14060	****	****	****	****	****	****	****	****	671
4189	226	пр.Комсомольский-53	53	06283015	2001	11.01 05:20	00013421	13421	****	****	****	****	****	****	****	****	671
4190	229	пр.Комсомольский-53	53	06283327	2001	11.01 05:29	00014684	14684	****	****	****	****	****	****	****	****	671
4191	231	пр.Комсомольский-53а	53а	06277543	2002	11.01 05:11	00011723	11723	****	****	****	****	****	****	****	****	671
4192	224	пр.Комсомольский-59	59	06283323	2003	11.01 05:15	00010416	10416	****	****	****	****	****	****	****	****	671
4193	228	пр.Комсомольский-63	63	06277587	2001	11.01 05:14	00011434	11434	****	****	****	****	****	****	****	****	673
4194	232	пр.Комсомольский-63	63	06277820	2001	11.01 05:11	00012190	12190	****	****	****	****	****	****	****	****	673
4195	215	пр.Комсомольский-63	63	06277813	2001	11.01 05:10	00009792	9792	****	****	****	****	****	****	****	****	673
4196	217	пр.Комсомольский-63	63	06277824	2001	11.01 05:11	00010771	10771	****	****	****	****	****	****	****	****	673
4197	219	пр.Комсомольский-65	65	06283277	2001	11.01 05:12	00013247	13247	****	****	****	****	****	****	****	****	673
4198	214	пр.Комсомольский-67	67	06277634	2001	11.01 05:08	00013619	13619	****	****	****	****	****	****	****	****	673
4199	222	пр.Комсомольский-69	69	06277581	2001	11.01 05:08	00011982	11982	****	****	****	****	****	****	****	****	673
4200	218	пр.Комсомольский-71	71	06283361	2001	11.01 05:08	00011392	11392	****	****	****	****	****	****	****	****	673
4201	999	Комсомольский	67а	06221573	2001	11.01 05:07	00009434	9434	****	****	****	****	****	****	****	****	673
4202	996	Комсомольский	65а	01745265	2001	11.01 05:17	00008325	8325	****	****	****	****	****	****	****	****	673
4203	997	Комсомольский	65а	01863168	2001	11.01 05:14	00011560	11560	****	****	****	****	****	****	****	****	673
4204	221	пр.Комсомольский-63	63	06277638	2002	11.01 05:19	00014570	14570	****	****	****	****	****	****	****	****	673
4205	998	Комсомольский	67а	06283000	2003	11.01 05:15	00007936	7936	****	****	****	****	****	****	****	****	673
4206	234	пр.Комсомольский-71	71	06277290	2001	11.01 05:19	00015713	15713	****	****	****	****	****	****	****	****	674
4207	236	пр.Комсомольский-71	71	06277245	2001	11.01 05:21	00015036	15036	****	****	****	****	****	****	****	****	674
4208	237	ул.Марковцева-22а	22а	06283039	2001	11.01 05:18	00003966	3966	****	****	****	****	****	****	****	****	674
