№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
180	764	Суворова общий ТП	15	07953038	2003	****	****	0	****	****	****	****	****	****	****	****	1138
181	932	пр.Шахтеров-21	21	06232441	2001	****	****	0	****	****	****	****	****	****	****	****	1144
182	284	ул.Тульская-6	6	07013893	2002	****	****	0	****	****	****	****	****	****	****	****	1144
183	420	ул.Тульская-2	2	06295306	2003	****	****	0	****	****	****	****	****	****	****	****	1144
184	745	ул.Тульская-4	4	06242564	2003	****	****	0	****	****	****	****	****	****	****	****	1144
185	747	пер.Бакинский-18	18	06242634	2003	****	****	0	****	****	****	****	****	****	****	****	1144
186	748	пер.Бакинский-20	20	06242629	2003	****	****	0	****	****	****	****	****	****	****	****	1144
187	195	пер.Бакинский-22	22	06298368	2001	10.01 01:52	00005772	5772	****	****	****	****	****	****	****	****	1146
188	926	Шахтеров27		06221498	2001	10.01 01:51	00002154	2154	****	****	****	****	****	****	****	****	1146
189	777	Шахтеров общий Тп	31	07931591	2001	10.01 01:44	00011143	11143	****	****	****	****	****	****	****	****	1146
190	749	ул.Ю.Смирнова-3	3	06242631	2002	10.01 01:56	00011866	11866	****	****	****	****	****	****	****	****	1146
191	768	Шахтеров общий ТП	31	07931581	2002	10.01 01:55	00010200	10200	****	****	****	****	****	****	****	****	1146
192	276	пер.Бакинский-24	24	06298593	2003	10.01 02:10	00029816	29816	****	****	****	****	****	****	****	****	1146
193	750	пр.Шахтеров-31	31	06242555	2003	10.01 01:30	00005575	5575	****	****	****	****	****	****	****	****	1146
194	656	пр.Шахтеров-28	28	06242703	2001	11.01 02:48	00009051	9051	****	****	****	****	****	****	****	****	1147
195	657	пр.Шахтеров-30	30	06242834	2001	11.01 02:24	00010178	10178	****	****	****	****	****	****	****	****	1147
196	667	пер.1-ый Волкова	8	06242596	2001	11.01 02:49	00011334	11334	****	****	****	****	****	****	****	****	1147
197	668	пр.Шахтеров-26	26	06242566	2001	11.01 02:50	00008996	8996	****	****	****	****	****	****	****	****	1147
